Wall time,Step,Value
1557504495.5163045,1068,323096800.0
1557504498.8420098,1070,525507424.0
1557504502.1664984,1072,484173120.0
1557504505.506256,1074,209889648.0
1557504508.8038635,1076,287214336.0
1557504512.1354067,1078,550154304.0
1557504515.4843214,1080,372289120.0
1557504518.8046913,1082,250890608.0
1557504522.1241715,1084,442901696.0
1557504525.4561403,1086,541917568.0
1557504528.7766259,1088,330184800.0
1557504532.1057777,1090,293545888.0
1557504535.4273238,1092,565837824.0
1557504538.7582517,1094,747603392.0
1557504542.0833533,1096,522555392.0
1557504545.4035072,1098,410553312.0
1557504548.7320712,1100,321331296.0
1557504552.0407345,1102,199444768.0
1557504555.3519714,1104,316639840.0
1557504558.6864624,1106,484833984.0
1557504561.995967,1108,478875520.0
1557504565.3078923,1110,444300768.0
1557504568.6341903,1112,203601968.0
1557504571.9511607,1114,261528128.0
1557504575.2937913,1116,471952096.0
1557504578.627048,1118,413964128.0
1557504581.9353373,1120,496849056.0
1557504585.285652,1122,427661440.0
1557504588.616369,1124,251897152.0
1557504590.8343062,1125,556282368.0
1557504594.1529632,1127,581779456.0
1557504597.4950197,1129,363293728.0
1557504600.8290868,1131,235608256.0
1557504604.1555362,1133,249956304.0
1557504607.5152633,1135,561121664.0
1557504610.8499503,1137,767329536.0
1557504614.195976,1139,769185024.0
1557504617.5432909,1141,195838688.0
1557504620.8882625,1143,779494912.0
1557504624.1807044,1145,1071170176.0
1557504627.5194533,1147,697203072.0
1557504630.856733,1149,319034368.0
1557504634.1737928,1151,588384512.0
1557504637.504637,1153,555711936.0
1557504640.8016913,1155,273585856.0
1557504644.1280692,1157,307503136.0
1557504647.4200087,1159,226032640.0
1557504650.7754865,1161,294462720.0
1557504654.0824957,1163,260184416.0
1557504657.392233,1165,261427072.0
1557504660.704862,1167,285918048.0
1557504664.0276191,1169,231745760.0
1557504667.3685007,1171,405670880.0
1557504670.6785753,1173,384113824.0
1557504673.9885666,1175,388423488.0
1557504677.2997627,1177,299765696.0
1557504680.6040342,1179,319227488.0
1557504683.941434,1181,410457664.0
1557504687.2354248,1183,322247520.0
1557504690.5527415,1185,200214224.0
1557504693.9023879,1187,240052944.0
1557504697.2220693,1189,239471120.0
1557504700.5338733,1191,238906640.0
1557504703.851419,1193,225989552.0
1557504707.1877716,1195,342416288.0
1557504710.502967,1197,258580416.0
1557504713.833771,1199,177834512.0
1557504717.144264,1201,258183248.0
1557504720.5552242,1203,306627680.0
1557504723.8947685,1205,205444192.0
1557504727.2261744,1207,344892160.0
1557504730.538487,1209,696525440.0
1557504733.8599644,1211,507140800.0
1557504737.1984947,1213,291586528.0
1557504740.5096085,1215,380446752.0
1557504743.821179,1217,672525056.0
1557504747.1206136,1219,549082624.0
1557504750.462811,1221,308348096.0
1557504753.795853,1223,271343712.0
1557504757.1083033,1225,448319520.0
1557504760.413703,1227,334507872.0
1557504763.7297254,1229,212850496.0
1557504767.0542426,1231,265533744.0
1557504770.3951182,1233,507948192.0
1557504773.7310128,1235,507795936.0
1557504777.0671525,1237,425584832.0
1557504780.3935666,1239,316796928.0
1557504783.7330842,1241,277808704.0
1557504787.0625565,1243,178835248.0
